Unnamed: 0,car_ID,symboling,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,CarName_alfa-romero Quadrifoglio,CarName_audi 100 ls,CarName_audi 100ls,CarName_audi fox,CarName_bmw 320i,CarName_bmw x1,CarName_bmw x3,CarName_chevrolet monte carlo,CarName_chevrolet vega 2300,CarName_dodge challenger se,CarName_dodge colt (sw),CarName_dodge colt hardtop,CarName_dodge dart custom,CarName_dodge monaco (sw),CarName_dodge rampage,CarName_honda accord,CarName_honda accord lx,CarName_honda civic,CarName_honda civic (auto),CarName_honda civic 1300,CarName_honda civic 1500 gl,CarName_honda prelude,CarName_isuzu D-Max ,CarName_isuzu D-Max V-Cross,CarName_isuzu MU-X,CarName_maxda glc deluxe,CarName_maxda rx3,CarName_mazda 626,CarName_mazda glc,CarName_mazda glc 4,CarName_mazda glc custom,CarName_mazda glc custom l,CarName_mazda glc deluxe,CarName_mazda rx-4,CarName_mazda rx-7 gs,CarName_mazda rx2 coupe,CarName_mercury cougar,CarName_mitsubishi g4,CarName_mitsubishi lancer,CarName_mitsubishi mirage,CarName_mitsubishi montero,CarName_mitsubishi outlander,CarName_mitsubishi pajero,CarName_nissan clipper,CarName_nissan dayz,CarName_nissan fuga,CarName_nissan juke,CarName_nissan latio,CarName_nissan leaf,CarName_nissan note,CarName_nissan nv200,CarName_nissan otti,CarName_nissan rogue,CarName_nissan teana,CarName_nissan titan,CarName_peugeot 504,CarName_plymouth fury gran sedan,CarName_plymouth fury iii,CarName_plymouth satellite custom (sw),CarName_plymouth valiant,CarName_porsche macan,CarName_saab 99e,CarName_saab 99gle,CarName_saab 99le,CarName_toyota carina,CarName_toyota corolla,CarName_toyota corolla 1200,CarName_toyota corolla 1600 (sw),CarName_toyota corolla liftback,CarName_toyota corona,CarName_toyota corona hardtop,CarName_toyota corona liftback,CarName_toyota corona mark ii,CarName_toyota cressida,CarName_toyota mark ii,CarName_toyota starlet,CarName_toyota tercel,CarName_toyouta tercel,CarName_volkswagen 1131 deluxe sedan,CarName_volkswagen 411 (sw),CarName_volkswagen dasher,CarName_volkswagen rabbit,CarName_volkswagen type 3,CarName_volvo 144ea,CarName_volvo 145e (sw),CarName_volvo 244dl,CarName_volvo 245,CarName_volvo 264gl,CarName_vw dasher,CarName_vw rabbit,fueltype_gas,aspiration_turbo,doornumber_two,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_fwd,drivewheel_rwd,enginetype_l,enginetype_ohc,enginetype_ohcv,enginetype_rotor,cylindernumber_four,cylindernumber_six,cylindernumber_two,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mpfi,fuelsystem_spfi
-1.708011037224078,-1.708011037224078,0.1413636685513534,-0.8439684263300297,-0.08837600722056727,0.08155069323653348,-0.6304371131716427,1.0049210294623896,1.2984211296098858,-2.518544599078185,1.140874750546819,-0.20839024011346433,2.0094776994082677,-0.45070418323792877,-1.2589703906017664,-1.0439117992043405,1.265685131511507,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
-1.6915569835290152,-1.6915569835290152,0.9693508700664233,0.4484511581767654,0.49686171955810704,0.5465516659295555,0.20525859498610927,-0.2259147140773944,-0.3304568007759503,-0.375167815735696,0.7371373234112617,2.5126288186928676,0.21266246588173618,0.8355281726382962,-0.3437614187104115,-0.31332203361609645,0.6855402180935045,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
-1.6751029298339524,-1.6751029298339524,0.9693508700664233,0.35091005745927345,0.49686171955810704,0.6794090866989917,0.20525859498610927,1.0074536132968337,0.6923270159779467,-0.375167815735696,0.7371373234112617,-2.929409298919796,0.6618662742633691,-0.19345771206268375,-1.4420121849800376,-1.7745015647925848,1.481817550235861,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
-1.6586488761388896,-1.6586488761388896,0.9693508700664233,0.4484511581767654,0.5727258693257147,0.6129803763142688,-0.3225492206924695,0.20462453777808562,0.6923270159779467,-0.375167815735696,0.7371373234112617,-1.5688997695166302,0.4890955787319718,0.8355281726382962,-1.2589703906017664,-1.2265592406014016,0.981300370032094,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
-1.5763786076635757,-1.5763786076635757,0.9693508700664233,0.7898450106879958,0.5185371909202819,-0.3834502794564885,0.20525859498610927,-0.0790248516796424,-0.3683376828779465,0.9276690525705238,-2.723469194893502,-0.7525940518747287,0.17810832677545674,1.607267586164031,-0.5268032130886825,-0.4959694750131575,1.24975958486866,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False
-1.559924553968513,-1.559924553968513,-0.6866235329637164,0.7898450106879958,0.5185371909202819,-0.3834502794564885,0.20525859498610927,-0.0790248516796424,-0.3683376828779465,0.9276690525705238,-2.723469194893502,-0.7525940518747287,0.17810832677545674,1.607267586164031,-0.5268032130886825,-0.4959694750131575,1.3623759504145074,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False
-1.5434705002734501,-1.5434705002734501,-0.6866235329637164,-0.25872182202506416,0.5185371909202819,-0.3834502794564885,0.20525859498610927,0.7187390561702176,1.7529917148338399,0.12915613328606682,-0.47407495799540517,-0.20839024011346433,0.8691911089010458,-2.380052717052266,-0.8928868018452245,-0.6786169164102185,2.282645038561888,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
-1.5270164465783873,-1.5270164465783873,-0.6866235329637164,0.7898450106879958,0.5185371909202819,-0.3834502794564885,0.20525859498610927,0.8580311670646377,1.7529917148338399,0.12915613328606682,-0.47407495799540517,-0.20839024011346433,0.8691911089010458,-2.380052717052266,-0.8928868018452245,-0.6786169164102185,2.3133585928016647,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
-1.4282921244080107,-1.4282921244080107,0.1413636685513534,-0.8439684263300297,-1.7465495664268074,-1.1805948040730916,-0.806373051731169,-1.3985010294249665,-1.0501935607138777,-1.0475997477647132,-0.9354891604360407,1.4242211951703336,-0.8930699855192062,0.5782817014630512,2.2188237025853823,2.061094704545697,-1.056032061206421,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False
-1.4118380707129479,-1.4118380707129479,-0.6866235329637164,-0.8439684263300297,-1.432255231675297,-1.1805948040730916,-0.806373051731169,-1.3098605952194264,0.08623290234600774,-1.0475997477647132,-0.9354891604360407,1.4242211951703336,-0.8930699855192062,0.5782817014630512,2.2188237025853823,2.061094704545697,-0.9923298746350323,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False
